"Alabama",,0,,0,,,3401,,13.0,,,461,,1.8,,,,26225
"Arkansas",,1540,,12.9,,,728,,6.1,,,0,,0.0,,,,11915
"Delaware",,0,,0,,," --  ",," --  ",,,232,,3.4,,,,6921
"District of Columbia",,2342,,31.4,,,1329,,17.8,,,1241,,16.6,,,,7456
"Florida",,3912,,5.5,,,0,,0.0,,,0,,0.0,,,,71319
"Georgia",,3746,,8.5,,,3888,,8.8,,,0,,0.0,,,,44232
"Kentucky",,1268,,8.5,,,3850,,25.8,,,18,,0.1,,,,14919
"Louisiana",,3068,,8.8,,,15599,,44.5,,,0,,0.0,,,,35047
"Maryland",,127,,0.5,,,118,,0.5,,,42,,0.2,,,,23538
"Mississippi",,3230,,16.0,,,3700,,18.3,,,0,,0.0,,,,20241
"North Carolina",,330,,1.1,,,0,,0.0,,,0,,0.0,,,,31266
"Oklahoma",,6931,,29.9,,,970,,4.2,,,76,,0.3,,,,23181
"South Carolina",,0,,0,,,433,,2.0,,,297,,1.4,,,,21778
"Tennessee",,3510,,15.8,,,5204,,23.5,,,0,,0.0,,,,22166
"Texas",,13985,,8.9,,,6477,,4.1,,,0,,0.0,,,,157997
"Virginia",,1571,,5.2,,,2962,,9.8,,,0,,0.0,,,,30168
"West Virginia",,0,,0,,,796,,20.6,,,0,,0.0,,,,3856
,,,,,,,,,,,,,,,,,,
"West",,15940,,5.9,"%",,5321,,2.0,"%",,1504,,0.6,"%",,,272419
"Alaska",,1383,,33.1,,," --  ",," --  ",,,33,,0.8,,,,4173
"Arizona",,1430,,5.4,,,237,,0.9,,,94,,0.4,,,,26510
"California",,4547,,2.8,,,2758,,1.7,,,624,,0.4,,,,163001
"Colorado/d",," ... ",," ...",,,2178,,12.9,,,0,,0.0,,,,16833
"Hawaii",,1187,,23.5,,," --  ",," --  ",,,34,,0.7,,,,5053
"Idaho",,1162,,21.0,,,450,,8.1,,,88,,1.6,,,,5535
"Montana",,986,,31.8,,,548,,17.6,,,36,,1.2,,,,3105
"Nevada",,508,,5.1,,,175,,1.7,,,203,,2.0,,,,10012
"New Mexico",,2155,,40.3,,,0,,0.0,,,23,,0.4,,,,5342
"Oregon",,0,,0,,,7,,0.1,,,161,,1.5,,,,10630
"Utah",,208,,3.7,,,1050,,18.7,,,119,,2.1,,,,5630
"Washington/c",,0,,0,,,0,,0.0,,,65,,0.4,,,,14915
"Wyoming",,275,,16.4,,,17,,1.0,,,24,,1.4,,,,1680
"                                                 ",,,,,,,"                                           ",,,,,,,"               ",,,,
" -- Not applicable. Prison and jails forn an integrated system.",,,,,,,,,,,,,,,,,,
" ... Not reported.",,,,,,,,,,,,,,,,,,
"a/Based on the total number of inmates under State or Federal jurisdiction.",,,,,,,,,,,,,,,,,,
"b/Includes 6,143 Federal inmates held in privately operated community correctional centers. ",,,,,,,,,,,,,,,,,,
"c/Inmates held in other State facilities include interstate compact cases. ",,,,,,,,,,,,,,,,,,
"d/Colorado housed 2,099 inmates in private facilities under contract to local jails.",,,,,,,,,,,,,,,,,,
"These inmates were included in regional and national totals for private facilities. ",,,,,,,,,,,,,,,,,,
