"District of Columbia/c",,356,606,,29.0,,-5.2,,31,,,,276,,84,,274
"Florida",,4105,2664,,7.5,,4.4,,52,,,,3820,,4105,,7949
"Georgia",,2758,1243,,5.8,,8.3,,67,,,,2607,,2751,,4111
"Kentucky",,1061,479,,-3.3,,8.3,,52,,,,1097,,1061,,2056
"Louisiana",,2272,775,,0.2,,11.4,,100,,,,2268,,2272,,2272
"Maryland",,1219,877,,9.5,,3.3,,39,,,,1113,,1061,,2690
"Mississippi",,1669,448,,18.8,,14.1,,105,,,,1405,,1530,,1454
"North Carolina/c",,1903,945,,0.8,,7.3,,35,,,,1888,,1389,,4009
"Oklahoma",,2394,1071,,3.4,,8.4,,138,,,,2316,,2394,,1731
"South Carolina",,1420,1053,,-1.9,,3.0,,64,,,,1447,,1301,,2041
"Tennessee/c",,1369,390,,0.1,,13.4,,48,,,,1368,,1369,,2871
"Texas/d",,12245,2196,,-2.1,,18.7,,100,,,,12502,,10420,,10403
"Virginia",,2059,927,,2.4,,8.3,,55,,,,2011,,1985,,3584
"West Virginia",,303,76,,26.8,,14.8,,31,,,,239,,287,,932
,,,,,,,,,,,,,,,,,
"West",,19650,9874,,1.7,"%",7.1,"%",59,,,,19322,,18382,,31303
"Alaska",,284,128,,-1.4,,8.3,,33,,,,288,,97,,297
"Arizona",,1964,835,,5.9,,8.9,,72,,,,1855,,1789,,2491
"California/c",,11161,6502,,-1.8,,5.6,,63,,,,11368,,10597,,16939
"Colorado",,1333,433,,9.9,,11.9,,63,,,,1213,,1333,,2104
"Hawaii",,561,171,,1.4,,12.6,,64,,,,553,,378,,590
"Idaho",,493,120,,23.6,,15.2,,77,,,,399,,493,,642
"Montana",,306,76,,16.3,,14.9,,68,,,,263,,306,,448
"Nevada",,834,406,,14.1,,7.5,,89,,,,731,,834,,938
"New Mexico",,511,193,,11.1,,10.2,,48,,,,460,,432,,891
"Oregon",,598,362,,2.4,,5.1,,35,,,,584,,596,,1696
"Utah",,384,125,,8.2,,11.9,,33,,,,355,,363,,1095
"Washington",,1065,435,,-4.1,,9.4,,34,,,,1111,,1008,,2932
"Wyoming/c",,156,88,,9.9,,5.9,,65,,,,142,,156,,240
"           ","       ","            ","                            ",,,,"                            ","                 ",,"                     ",,,,,,,
,,,,,,,,,,,,,,,,,
" .. Not calculated due to changes in reporting procedures. ",,,,,,,,,,,,,,,,,
"a/The average annual percentage increase from 1990 to 2000.",,,,,,,,,,,,,,,,,
"b/The number of female prisoners with sentences of more than 1 year per 100,000 U.S. residents.",,,,,,,,,,,,,,,,,
"c/Growth from 1990 to 2000 may be slightly overestimated due to a change in reporting from custody to jurisdiction counts.",,,,,,,,,,,,,,,,,
"d/Excludes an unknown number of female inmates in 1990 who were ""paper-ready"" State inmates held in local jails.",,,,,,,,,,,,,,,,,
