"Bureau of Justice Statistics",,,,,,,,,,,,,,,
"Filename:  p0004.csv",,,,,,,,,,,,,,,
"Table #4:  Change in the number of sentenced prisoners under the jurisdiction of State or Federal correctional authorities, 1990-2000",,,,,,,,,,,,,,,
"Report title:  Prisoners in 2000 NCJ 188207",,,,,,,,,,,,,,,
"Data source:  National Prisoner Statistics-1",,,,,,,,,,,,,,,
"Refer questions to:  askbjs@ojp.usdoj.gov  202-307-0765",,,,,,,,,,,,,,,
"Contact:  Allen Beck or Paige Harrison",,,,,,,,,,,,,,,
"Date of version:  8/8/01",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Table 4.  Change in the number of sentenced prisoners under the jurisdiction ",,,,,,,,,,"Figures for calculating population difference",,,,,
"of State or Federal correctional authorities, 1990-2000",,,,,,,,,,"and percent change",,,,"Reporting method",
,,,,,,,,,,"Inmates with sentences",,,,"C = custody",
"Nebraska",,1530,,66.9,,5.3,,,,2286,,3816,,"J","J"
"North Dakota",,559,,128.5,,8.6,,,,435,,994,,"J","J"
"Ohio",,14011,,44.0,,3.7,,,,31822,,45833,,"J","J"
"South Dakota",,1272,,94.9,,6.9,,,,1341,,2613,,"J","J"
"Wisconsin",,12575,," --   ",,"--",,,,7438,,20013,,"J","J"
,,,,,,,,,,,,,,,
"South",,246444,,87.2,"%",6.5,"%",,,282581,,528839,,,
"Alabama",,8758,,57.0,,4.6,,,,15365,,24123,,"J","J"
"Arkansas",,4577,,62.9,,5.0,,,,7274,,11851,,"J","J"
"Delaware",,1696,,75.7,,5.8,,,,2241,,3937,,"J","J"
"District of Columbia/a",,"-1,790 ",,-26.3,,"--",,,,6798,,5008,,"C","J"
"Florida",,26938,,60.7,,4.9,,,,44380,,71318,,"C","C"
"Georgia",,22470,,103.7,,7.4,,,,21671,,44141,,"C","C"
"Kentucky",,5896,,65.3,,5.2,,,,9023,,14919,,"J","J"
"Louisiana",,16448,,88.4,,6.5,,,,18599,,35047,,"J","J"
"Maryland",,5756,,34.4,,3.0,,,,16734,,22490,,"J","J"
"Mississippi",,11155,,138.0,,9.1,,,,8084,,19239,,"J","J"
"North Carolina/a",,9279,,52.2,,4.3,,,,17764,,27043,,"C","J"
"Oklahoma",,10896,,88.7,,6.6,,,,12285,,23181,,"J","J"
"South Carolina",,4809,,29.7,,2.6,,,,16208,,21017,,"J","J"
"Tennessee",,11778,,113.4,,7.9,,,,10388,,22166,,"J","J"
"Texas/b",,93323,,164.3,,10.2,,,,56784,,150107,,"J","J"
"Virginia",,12225,,70.2,,5.5,,,,17418,,29457,,"J","J"
"West Virginia",,2230,,142.5,,9.3,,,,1565,,3795,,"J","J"
,,,,,,,,,,,,,,,
"West",,114772,,76.8,"%",5.9,"%",,,149480,,264261,,,
"Alaska",,277,,15.0,,1.4,,,,1851,,2128,,"J","J"
"Arizona",,11631,,84.4,,6.3,,,,13781,,25412,,"C","C"
"California/a",,66290,,70.4,,5.5,,,,94122,,160412,,"C","J"
"Colorado",,9162,,119.4,,8.2,,,,7671,,16833,,"J","J"
"Hawaii",,1845,,108.0,,7.6,,,,1708,,3553,,"J","J"
"Idaho",,3565,,181.8,,10.9,,,,1961,,5535,,"J","J"
"Montana",,1680,,117.9,,8.1,,,,1425,,3105,,"J","J"
"Nevada",,4098,,70.4,,5.5,,,,5823,,9921,,"J","J"
"New Mexico",,1820,,59.3,,4.8,,,,3067,,4887,,"J","J"
"Oregon",,4111,,63.3,,5.0,,,,6492,,10603,,"J","J"
"Utah",,3052,,123.4,,8.4,,,,2474,,5526,,"J","J"
"Washington",,6671,,83.4,,6.3,,,,7995,,14666,,"J","J"
"Wyoming/a",,570,,51.4,,4.2,,,,1110,,1680,,"C","J"
"                                                ",,,,,,"                                      ",,,,,,,,,
" -- Not calculated because of changes in reporting procedures.",,,,,,,,,,,,,,,
"a/Growth may be slightly overestimated due to a change in reporting from custody to jurisdiction counts.",,,,,,,,,,,,,,,
"b/Includes 6,742 ""paper-ready"" State inmates held in local jails in 1990.",,,,,,,,,,,,,,,
