,Iowa,"9,024","8,218",806,,"9,419","8,582",837,,4.4,,4.4,,3.8,
,Kansas/d,"10,015","9,112",903,,"10,218","9,289",929,,2,,1.9,,2.9,
,Kentucky,"23,543","20,522","3,021",,"23,431","20,380","3,051",,-0.5,,-0.7,,1,
,Louisiana,"33,739","31,782","1,957",,"32,397","30,649","1,748",,-4,,-3.6,,-10.7,
,Maine,"2,404","2,177",227,,"2,425","2,188",237,,0.9,,0.5,,4.4,
,Maryland,"19,367","18,519",848,,"18,856","18,033",823,,-2.6,,-2.6,,-2.9,
,Massachusetts,"9,133","8,602",531,,"8,692","8,168",524,,-4.8,,-5,,-1.3,
,Michigan,"39,666","37,515","2,151",,"38,761","36,680","2,081",,-2.3,,-2.2,,-3.3,
,Minnesota,"10,708","9,974",734,,"10,101","9,402",699,,-5.7,,-5.7,,-4.8,
,Mississippi,"19,103","17,688","1,415",,"19,275","17,886","1,389",,0.9,,1.1,,-1.8,
,Missouri,"32,601","29,205","3,396",,"30,369","27,255","3,114",,-6.8,,-6.7,,-8.3,
,Montana/e,"3,698","3,282",416,,"3,765","3,318",447,,:,,:,,:,
,Nebraska,"5,313","4,884",429,,"5,491","5,061",430,,3.4,,3.6,,0.2,
,Nevada/d,"13,721","12,441","1,280",,"13,641","12,349","1,292",,-0.6,,-0.7,,0.9,
,New Hampshire/f,"2,750","2,524",226,,"2,745","2,519",226,,:,,:,,:,
,New Jersey,"19,585","18,811",774,,"19,362","18,592",770,,-1.1,,-1.2,,-0.5,
,New Mexico/g,"7,276","6,492",784,,"7,030","6,256",774,,:,,:,,:,
,New York,"49,461","47,184","2,277",,"46,636","44,544","2,092",,-5.7,,-5.6,,-8.1,
,North Carolina,"36,394","33,553","2,841",,"34,899","32,171","2,728",,-4.1,,-4.1,,-4,
,North Dakota/g,"1,723","1,524",199,,"1,695","1,499",196,,:,,:,,:,
,Ohio,"51,478","47,052","4,426",,"50,431","46,153","4,278",,-2,,-1.9,,-3.3,
,Oklahoma/h,"28,143","24,952","3,191",,"27,709","24,553","3,156",,-1.5,,-1.6,,-1.1,
,Oregon/f,"15,218","13,891","1,327",,"15,268","14,022","1,246",,:,,:,,:,
,Pennsylvania,"48,333","45,482","2,851",,"47,239","44,305","2,934",,-2.3,,-2.6,,2.9,
,Rhode Island/c,"2,861","2,690",171,,"2,767","2,613",154,,-3.3,,-2.9,,-9.9,
,South Carolina,"19,906","18,514","1,392",,"19,033","17,706","1,327",,-4.4,,-4.4,,-4.7,
,South Dakota,"3,970","3,430",540,,"3,948","3,377",571,,-0.6,,-1.5,,5.7,
,Tennessee,"28,980","25,969","3,011",,"26,321","23,642","2,679",,-9.2,,-9,,-11,
,Texas,"162,523","148,565","13,958",,"163,628","149,193","14,435",,0.7,,0.4,,3.4,
,"Utah/d,i","6,219","5,726",493,,"6,648","6,073",575,,:,,:,,:,
,Vermont/c,"1,546","1,406",140,,"1,659","1,519",140,,7.3,,8,,0,
,Virginia,"37,158","34,004","3,154",,"36,660","33,620","3,040",,-1.3,,-1.1,,-3.6,
,Washington,"19,656","17,914","1,742",,"19,523","17,803","1,720",,-0.7,,-0.6,,-1.3,
,West Virginia,"7,092","6,274",818,,"6,775","5,989",786,,-4.5,,-4.5,,-3.9,
,Wisconsin,"23,945","22,325","1,620",,"24,064","22,473","1,591",,0.5,,0.7,,-1.8,
,Wyoming,"2,473","2,181",292,,"2,543","2,207",336,,2.8,,1.2,,15.1,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,,
:Not calculated. Counts and rates for 2017 and 2018 are not comparable.,,,,,,,,,,,,,,,
a/Includes adult prisoners held in non-secure community-corrections facilities and adults and persons age 17 or younger held in privately operated facilities.,,,,,,,,,,,,,,,
"b/Total and state estimates for 2018 include imputed counts for New Hampshire and Oregon, which did not submit 2018 National Prisoner Statistics (NPS) data. See Methodology. Total and state estimates for 2017 include imputed data for New Mexico and North Dakota, which did not submit 2017 NPS data. See Methodology in Prisoners in 2017 (NCJ 252156, BJS, April 2019).",,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations. Data for these states are not reported in BJS’s annual Jail Inmates bulletins.,,,,,,,,,,,,,,,
d/State submitted updated 2017 population counts.,,,,,,,,,,,,,,,
e/State converted offender data to a new system in 2018. Data from 2018 are not comparable to data for previous years.,,,,,,,,,,,,,,,
f/State did not submit 2018 NPS data. Counts were imputed for 2018 and should not be compared to 2017 counts. See Methodology.,,,,,,,,,,,,,,,
"g/State did not submit 2017 NPS data. Counts were imputed for 2017 and should not be compared to 2018 counts. See Methodology in Prisoners in 2017 (NCJ 252156, BJS, April 2019).",,,,,,,,,,,,,,,
h/Includes persons who were waiting in county jails to be moved to state prison.,,,,,,,,,,,,,,,
i/Data for 2018 are not comparable to data for previous years. Total counts of the prisoner population from 2018 include an undetermined number of offenders excluded from counts in 2017 due to a change in legal-status requirements for a program for parole violators that was instituted in 2018.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017 and 2018.",,,,,,,,,,,,,,,
