,Iowa,"8,999","8,197",802,,"9,399","8,563",836,,4.4,,4.5,,4.2,
,Kansas/e,"9,731","8,889",842,,"9,957","9,089",868,,2.3,,2.2,,3.1,
,Kentucky,"23,539","20,518","3,021",,"23,427","20,376","3,051",,-0.5,,-0.7,,1,
,Louisiana,"33,706","31,749","1,957",,"32,364","30,616","1,748",,-4,,-3.6,,-10.7,
,Maine,"1,795","1,643",152,,"1,812","1,650",162,,0.9,,0.4,,6.6,
,Maryland,"19,232","18,399",833,,"18,741","17,927",814,,-2.6,,-2.6,,-2.3,
,Massachusetts,"8,286","7,976",310,,"7,907","7,614",293,,-4.6,,-4.5,,-5.5,
,Michigan,"39,666","37,515","2,151",,"38,761","36,680","2,081",,-2.3,,-2.2,,-3.3,
,Minnesota,"10,708","9,974",734,,"10,101","9,402",699,,-5.7,,-5.7,,-4.8,
,Mississippi,"18,471","17,184","1,287",,"18,678","17,416","1,262",,1.1,,1.4,,-1.9,
,Missouri,"32,592","29,197","3,395",,"30,366","27,253","3,113",,-6.8,,-6.7,,-8.3,
,Montana/f,"3,698","3,282",416,,"3,765","3,318",447,,:,,:,,:,
,Nebraska,"5,257","4,837",420,,"5,413","5,000",413,,3,,3.4,,-1.7,
,Nevada/e,"13,721","12,441","1,280",,"13,641","12,349","1,292",,-0.6,,-0.7,,0.9,
,New Hampshire/g,"2,750","2,524",226,,"2,745","2,519",226,,:,,:,,:,
,New Jersey,"19,585","18,811",774,,"19,362","18,592",770,,-1.1,,-1.2,,-0.5,
,New Mexico/h,"7,189","6,422",767,,"6,938","6,186",752,,:,,:,,:,
,New York,"49,360","47,103","2,257",,"46,566","44,485","2,081",,-5.7,,-5.6,,-7.8,
,North Carolina,"35,283","32,649","2,634",,"33,883","31,337","2,546",,-4,,-4,,-3.3,
,North Dakota/h,"1,711","1,514",197,,"1,686","1,491",195,,:,,:,,:,
,Ohio,"51,478","47,052","4,426",,"50,431","46,153","4,278",,-2,,-1.9,,-3.3,
,Oklahoma,"27,729","24,615","3,114",,"27,371","24,290","3,081",,-1.3,,-1.3,,-1.1,
,Oregon/g,"15,200","13,877","1,323",,"15,250","14,008","1,242",,:,,:,,:,
,Pennsylvania,"48,074","45,281","2,793",,"46,954","44,080","2,874",,-2.3,,-2.7,,2.9,
,Rhode Island/c,"1,808","1,739",69,,"1,671","1,612",59,,-7.6,,-7.3,,-14.5,
,South Carolina,"19,541","18,233","1,308",,"18,712","17,433","1,279",,-4.2,,-4.4,,-2.2,
,South Dakota,"3,959","3,424",535,,"3,942","3,373",569,,-0.4,,-1.5,,6.4,
,Tennessee,"28,980","25,969","3,011",,"26,321","23,642","2,679",,-9.2,,-9,,-11,
,Texas,"157,584","144,750","12,834",,"158,611","145,407","13,204",,0.7,,0.5,,2.9,
,"Utah/e,i","6,412","5,919",493,,"6,641","6,066",575,,:,,:,,:,
,Vermont/c,"1,126","1,021",105,,"1,173","1,077",96,,4.2,,5.5,,-8.6,
,Virginia,"37,158","34,004","3,154",,"36,660","33,620","3,040",,-1.3,,-1.1,,-3.6,
,Washington,"19,540","17,811","1,729",,"19,408","17,702","1,706",,-0.7,,-0.6,,-1.3,
,West Virginia,"7,092","6,274",818,,"6,775","5,989",786,,-4.5,,-4.5,,-3.9,
,Wisconsin,"22,682","21,147","1,535",,"22,794","21,287","1,507",,0.5,,0.7,,-1.8,
,Wyoming,"2,473","2,181",292,,"2,543","2,207",336,,2.8,,1.2,,15.1,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year and are based on prisoners with a sentence of more than one year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons. ",,,,,,,,,,,,,,,
:Not calculated. Counts and rates for 2017 and 2018 are not comparable. ,,,,,,,,,,,,,,,
a/Includes prisoners held in community corrections facilities that are non-secure and privately operated facilities and juveniles held in privately operated facilities.,,,,,,,,,,,,,,,
"b/Total and state estimates for 2017 include imputed counts for New Mexico and North Dakota, which did not submit 2017 National Prisoner Statistics (NPS) data. Total and state estimates for 2018 include imputed counts for New Hampshire and Oregon, which did not submit 2018 NPS data. See Methodology in this report and in Prisoners in 2017 (NCJ 252156, BJS, April 2019).",,,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,,
d/Includes a small number of prisoners sentenced to one year or less.,,,,,,,,,,,,,,,
e/State submitted updated 2017 population counts.,,,,,,,,,,,,,,,
f/State converted offender data to a new system in 2018. Data from 2018 are not comparable to data from previous years.,,,,,,,,,,,,,,,
g/State did not submit 2018 NPS data. Counts were imputed for 2018 and should not be compared to 2017 counts. See Methodology.,,,,,,,,,,,,,,,
"h/State did not submit 2017 NPS data. Counts were imputed for 2017 and should not be compared to 2018 counts. See Methodology in Prisoners in 2017 (NCJ 252156, BJS, April 2019).",,,,,,,,,,,,,,,
i/Data for 2018 are not comparable to data for previous years. Total counts of the prisoner population from 2018 include an undetermined number of offenders excluded from counts in 2017 due to a change in legal-status requirements for a program for parole violators that was instituted in 2018.,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017 and 2018.",,,,,,,,,,,,,,,
