Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p18t11.csv,,,,,,,,,,,,
"Table 11. Non-U.S. citizen prisoners in the custody of publicly or privately operated federal or state prisons, not including jails, by jurisdiction and sex, December 31, 2018",,,,,,,,,,,,
Report title: Prisoners in 2018   NCJ 253516,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov   202-307-0765,,,,,,,,,,,,
Date of version: 4/30/2020,,,,,,,,,,,,
,,,,,,,,,,,,
"Table 11. Non-U.S. citizen prisoners in the custody of publicly or privately operated federal or state prisons, not including jails, by jurisdiction and sex, December 31, 2018",,,,,,,,,,,,
,,"Non-U.S. citizen prisoners/a,b",,,,,,Non-U.S. citizen prisoners sentenced to more than 1 year/a,,,,
,Indiana/f,547,531,16,2.1,,,547,531,16,2.1,
,Iowa/f,200,196,4,2.1,,,200,196,4,2.1,
,Kansas/f,336,328,8,3.4,,,332,324,8,3.4,
,Kentucky,151,149,2,7.6,,,151,149,2,7.6,
,Louisiana,116,115,1,0.8,,,116,115,1,0.8,
,Maine,18,18,0,0.8,,,18,18,0,1,
,Maryland/f,675,661,14,3.6,,,673,659,14,3.7,
,Massachusetts,920,878,42,11,,,838,812,26,10.9,
,Michigan/f,543,528,15,1.4,,,543,528,15,1.4,
,Minnesota/f,384,374,10,4.3,,,384,374,10,4.1,
,Mississippi/f,17,17,0,0.1,,,17,17,0,0.1,
,Missouri/i,218,211,7,0.7,,,218,211,7,0.7,
,Montana/f,11,10,1,0.3,,,11,10,1,0.3,
,Nebraska/f,225,224,1,4.3,,,223,222,1,4.3,
,Nevada/f,"1,221","1,167",54,9.1,,,"1,217","1,163",54,9.1,
,New Hampshire/j,110,/,/,4.3,,,110,/,/,4.3,
,New Jersey/f,"1,263","1,237",26,6.6,,,"1,263","1,237",26,6.6,
,New Mexico,143,141,2,2.2,,,141,139,2,2.2,
,New York/f,"4,164","4,022",142,8.9,,,"4,164","4,022",142,9,
,North Carolina,"1,199","1,165",34,3.4,,,"1,187","1,153",34,3.5,
,North Dakota,16,16,0,1,,,16,16,0,1,
,"Ohio/f,k",499,482,17,1,,,499,482,17,1,
,Oklahoma/i,137,134,3,0.5,,,126,123,3,0.5,
,Oregon/j,"1,473",/,/,10,,,"1,473",/,/,10,
,"Pennsylvania/f,l","3,077","3,018",59,6.6,,,"3,004","2,946",58,6.5,
,Rhode Island/g,0,/,/,0,,,0,/,/,0,
,South Carolina/f,420,403,17,2.3,,,419,402,17,2.3,
,South Dakota/f,81,79,2,2.1,,,81,79,2,2.1,
,Tennessee,201,189,12,1,,,201,189,12,1,
,Texas/f,"8,693","8,474",219,5.8,,,"8,608","8,397",211,5.9,
,Utah/f,360,351,9,6.9,,,360,351,9,6.9,
,Vermont/g,3,2,1,0.2,,,1,0,1,0.1,
,Virginia/f,906,884,22,3.1,,,906,884,22,3.1,
,Washington,736,718,18,4.2,,,736,718,18,4.2,
,West Virginia,18,17,1,0.3,,,18,17,1,0.3,
,Wisconsin,469,457,12,2,,,443,431,12,2,
,Wyoming/f,55,54,1,2.3,,,55,54,1,2.3,
"Note: Use caution when interpreting these statistics. Unless otherwise noted, citizenship status is based on the prisoner’s self-report upon admission to prison. Some jurisdictions use a prisoner’s reported country of birth to determine current citizenship. BJS changed the way it measured citizenship for the 2016 reference year, requesting that National Prisoner Statistics (NPS) respondents include all non-U.S. citizens held in the physical custody of state and federal correctional authorities and in private prisons, excluding prisoners held in local jails, with the exception of states with an integrated prison and jail system, and in the custody of other jurisdictions. For jurisdiction-level information, see Jurisdiction notes on the BJS website. Data collected after 2016 should not be compared to data for previous years. See Methodology. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,
:Not calculated. Counts and percentages for 2017 and 2018 are not comparable.,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,
"a/Unless otherwise noted, citizenship status is based on self-report by prisoners at the time of admission.",,,,,,,,,,,,
b/Includes unsentenced prisoners and those of all sentence lengths.,,,,,,,,,,,,
"c/U.S. and state totals for non-U.S. citizens by sex exclude California, New Hampshire, and Oregon, which did not report citizenship counts by sex.",,,,,,,,,,,,
"d/Prison population count is the sum of persons held in the custody of state and federally operated prisons and each jurisdiction’s private prison facilities. In 2018, the total custody population in publicly and privately operated state and federal correctional facilities was 1,357,723 (1,178,510 state and 179,213 federal), and the sentenced custody population in those same facilities was 1,317,444 (1,151,578 state and 165,866 federal). These counts exclude custody populations for Rhode Island, which did not provide counts of non-U.S. citizens and whose numbers could not be imputed.",,,,,,,,,,,,
"e/Total U.S. and state counts of non-U.S. citizen prisoners for 2018 include estimated counts for three states (California, New Hampshire and Oregon) that did not report statistics on non-U.S. citizens. The 92.3% of prisoners who are not counted as non-U.S. citizens may not be U.S. citizens, as some may have an unknown citizenship status.",,,,,,,,,,,,
"f/Citizenship data were subject to verification by an external data source (e.g., comparison to official records from U.S.  Immigration and Customs Enforcement (ICE) or other relevant government agencies).",,,,,,,,,,,,
g/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,
"h/California did not submit accurate, verifiable figures on citizenship status. Citizenship data for the state are included in U.S. and state totals. They were estimated based on published counts from a state report (https://www.cdcr.ca.gov/research/wp-content/uploads/sites/174/2019/08/DataPoints_122017.pdf) and represented the country of birth as reported by prisoners.",,,,,,,,,,,,
i/Estimate based on the number of offenders with ICE detainers.,,,,,,,,,,,,
j/State did not provide 2018 NPS data. Counts of non-U.S. citizens were imputed based on data for previous years. See Methodology.,,,,,,,,,,,,
k/Counts of non-U.S. citizens exclude those held in privately operated halfway houses.,,,,,,,,,,,,
l/Non-U.S. citizen count includes persons of unknown place of birth.,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2018.",,,,,,,,,,,,
