,"New Mexico/h,i",/,"2,051",:,,29.2,,,0,0,:,,0,
,New York,0,0,:,,:,,,2,2,0,,0,
,North Carolina,30,30,0,,0.1,,,0,0,:,,0,
,North Dakota/h,/,337,:,,19.9,,,0,0,:,,0,
,Ohio,"7,224","6,567",-9.1,,13,,,0,0,:,,0,
,Oklahoma,"7,353","7,277",-1,,26.3,,,13,13,0,,0,
,Oregon/h,/,/,:,,:,,,/,/,:,,:,
,Pennsylvania,407,431,5.9,,0.9,,,382,359,-6,,0.8,
,Rhode Island/c,~,~,:,,0,,,0,0,:,,0,
,South Carolina/d,24,73,204.2,,0.4,,,341,314,-7.9,,1.6,
,South Dakota,34,38,11.8,,1,,,0,0,:,,0,
,Tennessee,"7,608","7,615",0.1,,28.9,,,"7,038","6,828",-3,,25.9,
,Texas,"12,728","12,491",-1.9,,7.6,,,"11,549","13,504",16.9,,8.3,
,Utah/f,0,0,:,,0,,,"1,404","1,383",-1.5,,20.8,
,"Vermont/c,e",0,221,:,,13.3,,,0,0,:,,0,
,Virginia,"1,553","1,559",0.4,,4.3,,,"7,370","7,206",-2.2,,19.7,
,Washington,0,0,:,,0,,,42,194,361.9,,1,
,West Virginia,0,0,:,,0,,,"1,170",946,-19.1,,14,
,Wisconsin,~,~,:,,0,,,412,507,23.1,,2.1,
,Wyoming,237,391,65,,15.4,,,21,87,314.3,,3.4,
"Note: For jurisdiction-level information, see Jurisdiction notes on the BJS website. Counts are for December 31 of each year. As of December 31, 2001, sentenced felons from the District of Columbia were the responsibility of the Federal Bureau of Prisons.",,,,,,,,,,,,,,
:Not calculated. Counts and rates for 2017 and 2018 are not comparable.,,,,,,,,,,,,,,
~Not applicable.,,,,,,,,,,,,,,
/Not reported.,,,,,,,,,,,,,,
a/Includes prisoners held in private facilities in the jurisdiction of another state.,,,,,,,,,,,,,,
"b/Includes federal prisoners held in facilities that are non-secure and privately operated (9,597) and prisoners on home confinement (1,832). Excludes persons held in immigration-detention facilities pending adjudication.",,,,,,,,,,,,,,
c/Prisons and jails form one integrated system. Data include total jail and prison populations.,,,,,,,,,,,,,,
d/Prisoners held in private prisons outside the state account for the increases in private prison populations in Idaho and South Carolina.,,,,,,,,,,,,,,
e/Includes prisoners in facilities owned by the state but staffed by employees of a private correctional company.,,,,,,,,,,,,,,
"f/Due to changes in reporting methods, 2017 and 2018 counts are not comparable.",,,,,,,,,,,,,,
g/State submitted updated 2017 population counts for private prisons and local jails.,,,,,,,,,,,,,,
"h/Totals for 2017 include imputed counts for New Mexico and North Dakota, which did not submit 2017 National Prisoner Statistics (NPS) data. Totals for 2018 include imputed counts for New Hampshire and Oregon, which did not submit 2018 NPS data. BJS estimated counts of prisoners held in local jails ",,,,,,,,,,,,,,
"and private facilities and included these estimates in the state and U.S. totals. See Methodology in this report and in Prisoners in 2017 (NCJ 252156, BJS, April 2019).",,,,,,,,,,,,,,
"i/In 2018, New Mexico moved all female prisoners who had been housed in private facilities to state-run correctional facilities.",,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics, 2017 and 2018.",,,,,,,,,,,,,,
